#,Kanji,Radical,# Strokes,Grade,Meaning,Readings
1860,肪 ,肉 ,8,S ,obese ,ボウ
1861,某 ,木 ,9,S ,so-and-so ,ボウ
1862,冒 ,冂 ,9,S ,risk ,ボウ、おか-す
1863,剖 ,刀 ,10,S ,divide ,ボウ
1864,紡 ,糸 ,10,S ,spinning ,ボウ、つむ-ぐ
1866,傍 ,人 ,12,S ,bystander ,ボウ、かたわ-ら
1867,帽 ,巾 ,12,S ,cap ,ボウ
1870,貌 ,豸 ,14,S ,appearance ,ボウ
1872,膨 ,肉 ,16,S ,swell ,ボウ、ふく-らむ、ふく-れる
1873,謀 ,言 ,16,S ,conspire ,ボウ、（ム）、はか-る
1874,頰 [7] ,頁 ,16,S ,cheek ,ほお
1877,朴 ,木 ,6,S ,crude ,ボク
1879,睦 ,目 ,13,S ,harmonious ,ボク
1880,僕 ,人 ,14,S ,me ,ボク
1881,墨 ,土 ,14,S ,black ink ,ボク、すみ
1882,撲 ,手 ,15,S ,slap ,ボク
1883,没 ,水 ,7,S ,drown ,ボツ
1884,勃 ,力 ,9,S ,rise ,ボツ
1885,堀 ,土 ,11,S ,ditch ,ほり
1887,奔 ,大 ,8,S ,bustle ,ホン
1888,翻 ,飛 ,18,S ,flip ,ホン、ひるがえ-る、ひるがえ-す
1889,凡 ,几 ,3,S ,mediocre ,ボン、（ハン）
1890,盆 ,皿 ,9,S ,basin ,ボン
1891,麻 ,麻 ,11,S ,hemp ,マ、あさ
1892,摩 ,手 ,15,S ,chafe ,マ
1893,磨 ,石 ,16,S ,grind ,マ、みが-く
1894,魔 ,鬼 ,21,S ,witch ,マ
1898,昧 ,日 ,9,S ,foolish ,マイ
1899,埋 ,土 ,10,S ,bury ,マイ、う-める、う-まる、う-もれる
1901,膜 ,肉 ,14,S ,membrane ,マク
1902,枕 ,木 ,8,S ,pillow ,まくら
1903,又 ,又 ,2,S ,or again ,また
1905,抹 ,手 ,8,S ,rub ,マツ
1908,慢 ,心 ,14,S ,ridicule ,マン
1909,漫 ,水 ,14,S ,cartoon ,マン
1912,魅 ,鬼 ,15,S ,fascination ,ミ
1913,岬 ,山 ,8,S ,headland ,みさき
1915,蜜 ,虫 ,14,S ,honey ,ミツ
1917,妙 ,女 ,7,S ,exquisite ,ミョウ
1919,眠 ,目 ,10,S ,sleep ,ミン、ねむ-る、ねむ-い
1920,矛 ,矛 ,5,S ,halberd ,ム、ほこ
1924,霧 ,雨 ,19,S ,fog ,ム、きり
1925,娘 ,女 ,10,S ,daughter ,むすめ
1930,冥 ,冖 ,10,S ,dark ,メイ、ミョウ
1932,銘 ,金 ,14,S ,inscription ,メイ
1934,滅 ,水 ,13,S ,destroy ,メツ、ほろ-びる、ほろ-ぼす
1935,免 ,儿 ,8,S ,excuse ,メン、まぬか-れる
1938,麺 ,麥 ,16,S ,noodles ,メン
1939,茂 ,艸 ,8,S ,overgrown ,モ、しげ-る
1942,妄 ,女 ,6,S ,delusion ,モウ、ボウ
1943,盲 ,目 ,8,S ,blind ,モウ
1944,耗 ,耒 ,10,S ,decrease ,モウ、（コウ）
1945,猛 ,犬 ,11,S ,fierce ,モウ
1946,網 ,糸 ,14,S ,netting ,モウ、あみ
1948,黙 ,黑 ,15,S ,silence ,モク、だま-る
1950,紋 ,糸 ,10,S ,family crest ,モン
1952,冶 ,冫 ,7,S ,melting ,ヤ
1955,弥 ,弓 ,8,S ,all the more ,や
1956,厄 ,厂 ,4,S ,unlucky ,ヤク
1961,躍 ,足 ,21,S ,leap ,ヤク、おど-る
1962,闇 ,門 ,17,S ,darkness ,やみ
1965,喩 ,口 ,12,S ,metaphor ,ユ
1966,愉 ,心 ,12,S ,pleasure ,ユ
1967,諭 ,言 ,16,S ,rebuke ,ユ、さと-す
1969,癒 ,疒 ,18,S ,healing ,ユ、い-える、い-やす
1970,唯 ,口 ,11,S ,solely ,ユイ、（イ）
1974,幽 ,幺 ,9,S ,seclude ,ユウ
1975,悠 ,心 ,11,S ,permanence ,ユウ
1977,湧 ,水 ,12,S ,boil ,ユウ、わ-く
1978,猶 ,犬 ,12,S ,furthermore ,ユウ
1979,裕 ,衣 ,12,S ,abundant ,ユウ
1981,雄 ,隹 ,12,S ,male ,ユウ、お、おす
1982,誘 ,言 ,14,S ,entice ,ユウ、さそ-う
1983,憂 ,心 ,15,S ,melancholy ,ユウ、うれ-える、うれ-い、う-い
1984,融 ,虫 ,16,S ,dissolve ,ユウ
1986,与 ,臼 ,3,S ,give ,ヨ、あた-える
1989,誉 ,言 ,13,S ,reputation ,ヨ、ほま-れ
1994,妖 ,女 ,7,S ,bewitching ,ヨウ、あや-しい
1998,庸 ,广 ,11,S ,commonplace ,ヨウ
1999,揚 ,手 ,12,S ,hoist ,ヨウ、あ-げる、あ-がる
2000,揺 ,手 ,12,S ,swing ,ヨウ、ゆ-れる、ゆ-る、ゆ-らぐ、ゆ-るぐ、ゆ-する、ゆ-さぶる、ゆ-すぶる
2003,溶 ,水 ,13,S ,melt ,ヨウ、と-ける、と-かす、と-く
2004,腰 ,肉 ,13,S ,loins ,ヨウ、こし
2006,瘍 ,疒 ,14,S ,boil (medical) ,ヨウ
2007,踊 ,足 ,14,S ,jump ,ヨウ、おど-る、おど-り
2008,窯 ,穴 ,15,S ,kiln ,ヨウ、かま
2010,擁 ,手 ,16,S ,embrace ,ヨウ
2011,謡 ,言 ,16,S ,noh chanting ,ヨウ、うたい、うた-う
2013,抑 ,手 ,7,S ,repress ,ヨク、おさ-える
2014,沃 ,水 ,7,S ,fertility ,ヨク
2018,翼 ,羽 ,17,S ,wing ,ヨク、つばさ
2019,拉 ,手 ,8,S ,crush ,ラ
2020,裸 ,衣 ,13,S ,naked ,ラ、はだか
2021,羅 ,网 ,19,S ,gauze ,ラ
2023,雷 ,雨 ,13,S ,thunder ,ライ、かみなり
2024,頼 ,貝 ,16,S ,trust ,ライ、たの-む、たの-もしい、たよ-る
2025,絡 ,糸 ,12,S ,entwine ,ラク、から-む、から-まる、から-める
2027,酪 ,酉 ,13,S ,dairy products ,ラク
2028,辣 ,辛 ,14,S ,bitter ,ラツ
2032,濫 ,水 ,18,S ,excessive ,ラン
2033,藍 ,艸 ,18,S ,indigo ,ラン、あい
2034,欄 ,木 ,20,S ,column ,ラン
2035,吏 ,口 ,6,S ,officer ,リ
2039,痢 ,疒 ,12,S ,diarrhea ,リ
2041,履 ,尸 ,15,S ,footgear ,リ、は-く
2042,璃 ,玉 ,15,S ,glassy ,リ
2043,離 ,隹 ,19,S ,detach ,リ、はな-れる、はな-す
2047,慄 ,心 ,13,S ,fear ,リツ
2049,柳 ,木 ,9,S ,willow ,リュウ、やなぎ
2052,竜 ,龍 ,10,S ,dragon ,リュウ、たつ
2053,粒 ,米 ,11,S ,grains ,リュウ、つぶ
2054,隆 ,阜 ,11,S ,hump ,リュウ
2055,硫 ,石 ,12,S ,sulphur ,リュウ
2056,侶 ,人 ,9,S ,companion ,リョ
2058,虜 ,虍 ,13,S ,captive ,リョ
2059,慮 ,心 ,15,S ,prudence ,リョ
2060,了 ,亅 ,2,S ,finish ,リョウ
2064,涼 ,水 ,11,S ,refreshing ,リョウ、すず-しい、すず-む
2065,猟 ,犬 ,11,S ,game-hunting ,リョウ
2066,陵 ,阜 ,11,S ,mausoleum ,リョウ、みささぎ
2068,僚 ,人 ,14,S ,colleague ,リョウ
2070,寮 ,宀 ,15,S ,dormitory ,リョウ
2071,療 ,疒 ,17,S ,heal ,リョウ
2072,瞭 ,目 ,17,S ,clear ,リョウ
2073,糧 ,米 ,18,S ,provisions ,リョウ、（ロウ）、かて
2077,厘 ,厂 ,9,S ,thousandth ,リン
2078,倫 ,人 ,10,S ,ethics ,リン
2080,隣 ,阜 ,16,S ,neighboring ,リン、とな-る、となり
2082,瑠 ,玉 ,14,S ,lapis lazuli ,ル
2083,涙 ,水 ,10,S ,tears ,ルイ、なみだ
2084,累 ,糸 ,11,S ,accumulate ,ルイ
2085,塁 ,土 ,12,S ,bases ,ルイ
2090,励 ,力 ,7,S ,encourage ,レイ、はげ-む、はげ-ます
2091,戻 ,戶 ,7,S ,re- ,レイ、もど-す、もど-る
2093,鈴 ,金 ,13,S ,small bell ,レイ、リン、すず
2094,零 ,雨 ,13,S ,zero ,レイ
2095,霊 ,雨 ,15,S ,spirits ,レイ、リョウ、たま
2096,隷 ,隶 ,16,S ,slave ,レイ
2097,齢 ,齒 ,17,S ,age ,レイ
2098,麗 ,鹿 ,19,S ,lovely ,レイ、うるわ-しい
2099,暦 ,日 ,14,S ,calendar ,レキ、こよみ
2102,劣 ,力 ,6,S ,inferiority ,レツ、おと-る
2103,烈 ,火 ,10,S ,ardent ,レツ
2104,裂 ,衣 ,12,S ,split ,レツ、さ-く、さ-ける
2105,恋 ,心 ,10,S ,romance ,レン、こ-う、こい、こい-しい
2107,廉 ,广 ,13,S ,bargain ,レン
2109,錬 ,金 ,16,S ,tempering ,レン
2110,呂 ,口 ,7,S ,spine ,ロ
2111,炉 ,火 ,8,S ,hearth ,ロ
2112,賂 ,貝 ,13,S ,bribe ,ロ
2114,露 ,雨 ,21,S ,dew ,ロ、（ロウ）、つゆ
2117,弄 ,廾 ,7,S ,tamper with ,ロウ、もてあそ-ぶ
2118,郎 ,邑 ,9,S ,son ,ロウ
2120,浪 ,水 ,10,S ,wandering ,ロウ
2121,廊 ,广 ,12,S ,corridor ,ロウ
2122,楼 ,木 ,13,S ,watchtower ,ロウ
2123,漏 ,水 ,14,S ,leak ,ロウ、も-る、も-れる、も-らす
2124,籠 ,竹 ,22,S ,basket ,ロウ、かご、こ-もる
2127,麓 ,鹿 ,19,S ,foot of a mountain ,ロク、ふもと
2131,賄 ,貝 ,13,S ,bribe ,ワイ、まかな-う
2132,脇 ,肉 ,10,S ,aside ,わき
2133,惑 ,心 ,12,S ,beguile ,ワク、まど-う
2134,枠 ,木 ,8,S ,frame ,わく
2135,湾 ,水 ,12,S ,gulf ,ワン
2136,腕 ,肉 ,12,S ,arm ,ワン、うで
